operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
JOIN,geom_data/points.parquet,0.8736266374588013,0.0809672294854874,0.00021449,2.052422714744699e-05,points,parquet
SELECT,geom_data/lines.geojson,0.15139845609664918,0.0047927978804960985,0.00019550499999999998,2.486558816919479e-05,lines,geojson
INSERT,geom_data/lines.geojson,0.3034216284751892,0.06065346829781073,0.00020426000000000003,2.279689452535148e-05,lines,geojson
UPDATE,geom_data/lines.geojson,0.36308465003967283,0.03585179048141668,0.000192425,1.0356779180807124e-05,lines,geojson
DELETE,geom_data/lines.geojson,0.2912171959877014,0.030971098166968865,0.00020722499999999998,3.6792782920023865e-05,lines,geojson
JOIN,geom_data/lines.geojson,0.19961379766464232,0.010662476436574465,0.00019902999999999994,4.0704030512960263e-05,lines,geojson
SELECT,geom_data/lines.shp,0.08092796802520752,0.020656859261388334,0.0001983,1.5699522285725766e-05,lines,shp
INSERT,geom_data/lines.shp,0.15758860111236572,0.04493172659970036,0.00022292499999999998,3.5006583309429096e-05,lines,shp
UPDATE,geom_data/lines.shp,0.2554489731788635,0.06411161710094394,0.00020663500000000002,1.670345099073841e-05,lines,shp
DELETE,geom_data/lines.shp,0.14958420991897584,0.027187077183348916,0.000222825,3.0105263244157166e-05,lines,shp
JOIN,geom_data/lines.shp,0.12267358303070068,0.03263070020739919,0.00019651,1.983529430081641e-05,lines,shp
SELECT,geom_data/lines.gpkg,0.06374471187591553,0.038860287200686836,0.000213905,2.974179676818468e-05,lines,gpkg
INSERT,geom_data/lines.gpkg,0.427265465259552,0.19688212368411812,0.000286765,8.009467694547499e-05,lines,gpkg
UPDATE,geom_data/lines.gpkg,0.884263563156128,0.17380942139231964,0.000214975,3.4751012575175425e-05,lines,gpkg
DELETE,geom_data/lines.gpkg,0.30610778331756594,0.05321952736087608,0.00027607,7.554475560884423e-05,lines,gpkg
JOIN,geom_data/lines.gpkg,0.09653931856155396,0.04684766928032531,0.00019345499999999998,1.785800870757992e-05,lines,gpkg
