mean_time,std_time,mean_energy,std_energy,case,operation
0.08434185981750489,0.012581355427708787,0.00025962,3.3881995218699866e-05,NO_INDEX,SELECT
0.11553432941436767,0.011650697269489323,0.00022153,2.7347433151943168e-05,NO_INDEX,JOIN
0.07681059837341309,0.008102522638907546,0.00020288000000000004,5.483940189316431e-06,WITH_INDEX,SELECT
0.2590797901153564,0.0113866234059275,0.00019448,1.4148130618565835e-05,WITH_INDEX,JOIN
