mean_time,std_time,mean_energy,std_energy,compression,operation
0.03781423568725586,0.010560809541869854,0.00025341999999999997,3.465093938120582e-05,PARQUET_UNCOMPRESSED,SELECT
0.04180276393890381,0.01059541600039532,0.00034386,8.995779232506766e-05,PARQUET_UNCOMPRESSED,INSERT
0.7364288330078125,0.2146031735266221,0.00037909999999999994,8.425765247145211e-05,PARQUET_UNCOMPRESSED,UPDATE
0.35192270278930665,0.07338327014569818,0.00081837,2.174079345378176e-05,PARQUET_UNCOMPRESSED,DELETE
0.487154483795166,0.11095826404919854,0.00088336,2.9132840575542946e-05,PARQUET_UNCOMPRESSED,JOIN
1.2032456636428832,0.4871291355894913,0.0009734400000000001,1.1020998139914587e-05,PARQUET_SNAPPY,SELECT
2.0965452909469606,0.8779396644569779,0.0009815400000000001,1.3682923664188118e-05,PARQUET_SNAPPY,INSERT
2.7183453321456907,0.5085016651065436,0.0009664200000000002,1.1382600757296186e-05,PARQUET_SNAPPY,UPDATE
1.1094691753387451,0.6361441292627631,0.00100332,1.6435863226493447e-05,PARQUET_SNAPPY,DELETE
1.8401829242706298,0.6984670357583888,0.0009759500000000001,9.001249913206519e-06,PARQUET_SNAPPY,JOIN
0.5535249948501587,0.20429022757990514,0.0009560800000000001,1.3766829700406719e-05,PARQUET_ZSTD,SELECT
0.6043422222137451,0.21389198730691086,0.0009745,1.583407717550983e-05,PARQUET_ZSTD,INSERT
2.1204804182052612,0.35267286732173814,0.00094097,1.84768530870384e-05,PARQUET_ZSTD,UPDATE
0.2035280704498291,0.12854564287027545,0.0009247999999999999,4.920272350185505e-05,PARQUET_ZSTD,DELETE
0.29755682945251466,0.02073748923071184,0.0009058700000000001,2.3732174363087752e-05,PARQUET_ZSTD,JOIN
0.9216712951660156,0.0667885515541261,0.00090715,1.7354091736532935e-05,GEOJSON_NORMAL,SELECT
0.9371681928634643,0.055311239300834064,0.0009044900000000002,1.9223082479144688e-05,GEOJSON_NORMAL,INSERT
2.6878607273101807,0.4471668175500727,0.0009071000000000001,3.436378908094972e-05,GEOJSON_NORMAL,UPDATE
1.4379290819168091,0.2935868264269299,0.0009568500000000001,1.3063249978470129e-05,GEOJSON_NORMAL,DELETE
1.1461651563644408,0.1329205024933868,0.00094202,1.7005575556269766e-05,GEOJSON_NORMAL,JOIN
0.9881227016448975,0.04883063518136708,0.00094827,2.053937925060055e-05,GEOJSON_GZIP,SELECT
1.2730348825454711,0.2714498134982751,0.00093248,2.109752592130177e-05,GEOJSON_GZIP,INSERT
2.529005837440491,0.1912638337985289,0.0009217800000000002,1.3667026011535895e-05,GEOJSON_GZIP,UPDATE
0.9786192178726196,0.07860645842815021,0.0009446600000000002,1.1019637017615426e-05,GEOJSON_GZIP,DELETE
1.244168210029602,0.14641547356265056,0.0009496299999999999,1.5347641512623378e-05,GEOJSON_GZIP,JOIN
1.3116204977035522,0.33314520684198773,0.00096286,1.7577098736708474e-05,GPKG_NORMAL,SELECT
1.5892698526382447,0.46333688768543446,0.0009769400000000004,1.1978831328639696e-05,GPKG_NORMAL,INSERT
2.7342031955718995,0.4986656507978712,0.0009538600000000002,1.2336466268749744e-05,GPKG_NORMAL,UPDATE
1.1469701051712036,0.17436858333861627,0.00096214,1.2028898536441336e-05,GPKG_NORMAL,DELETE
1.2273874521255492,0.19764106902802334,0.00092455,2.244153515248009e-05,GPKG_NORMAL,JOIN
1.4441565036773683,0.30235673701799504,0.00094593,1.5340602986845075e-05,GPKG_SIMPLIFIED,SELECT
1.4115509510040283,0.2857908600629601,0.00095259,2.5913025682077332e-05,GPKG_SIMPLIFIED,INSERT
2.2854716539382935,0.17900717809832117,0.0009149999999999998,6.405310296933327e-06,GPKG_SIMPLIFIED,UPDATE
1.184332299232483,0.245727092076277,0.00094079,1.4097691300351279e-05,GPKG_SIMPLIFIED,DELETE
1.0019157171249389,0.42789579641516534,0.00090331,2.59955169211924e-05,GPKG_SIMPLIFIED,JOIN
